Word,Abbreviation,Alt Abbreviation,Prime,Modifier -1,Modifier -2,Class,Definition,Create Date
Ab Test,ABTEST,ABTEST,,X,X,,Testing strategy,
Abandon,ABNDN,,,X,X,,Abandoned,
Abandoned,ABDN,,,,,,,
Abbreviate,ABBR,,,X,X,,,
Abbreviated,ABBR,,,X,X,,,
Abbreviation,ABBR,ABBR,,X,X, ,Shortened form of a word; constructed in a manner that the original word is recognizable.,
Abend,ABND,,,,,,,
Abnormal,ABNRM,,,,,,,
abort,ABORT,,,,,,,
aborted,ABORT,,,,,,,
Above,ABV,ABV,,X,X,,,
Above The Fold,ATF,ATF,,X,X,,The visible section of a web page without scrolling,
Abrasive,ABRSV,,,,,,,
Abroad,ABRD,,,,,,,
Absence,ABSC,,,,,,,
Absolute,ABSLT,,,,,,,
Absorbed,ABSRB,,,,,,,
Abstract,ABSTR,,,,,,,
Academic,ACDMC,,,,,,,
Academy,ACDMY,,,,,,,
Accept,ACCPT,ACCPT,,X,X,,The action verb,
Acceptable,ACCPT,ACCPT,,X,X,,The adjective form or accept.,
Acceptance,ACCPT,ACCPT,,X,X,,Acceptance as an action.,
Accepted,ACCPT,ACCPT,,X,X,,Action verb derivative,
Access,ACES,,,,,,,
Accessories,ACC,ACC,,X,X,,,
Accessory,ACSRY,,,,,,,
Accident,ACDNT,,,,,,,
Accomplish,ACMPL,,,,,,,
Accomplishment,ACMPL,,,,,,,
Account,ACCT,,X,X,,,Customer account,
Accountant,ACCNT,,,,,,,
Accounting,ACCTG,,,,,,,
Accounts,ACCTS,,,,,,,
Accredited,ACRD,,,,,,,
Accredition,ACRDN,,,,,,,
Accrual,ACCR,,,,,,,
Accrued,ACCR,,,,,,,
Accumulate,ACCUM,,,,,,,
Accumulated,ACCUM,,,,,,,
Accumulation,ACCUM,,,,,,,
Accumulator,ACCUM,,,,,,,
Accuracy,ACRCY,,,,,,,
Accurate,ACCRT,,,,,,,
Achievement,ACHVT,,,,,,,
Acknowledge,ACK,ACK,,X,X,,The event where an entity admits receipt (of something).,
Acknowledged,ACK,ACK,,X,X,,Derivative of the verb acknowledge.,
Acknowledgement,ACK,ACK,,X,X,,,
Acoustic,ACSTC,,,,,,,
Acquire,ACQ,,,,,,,
Acquired,ACQ,,,,,,,
Acquisition,ACQ,,,,,,,
Acre,ACRE,,,,,,,
Acreage,ACRE,,,,,,,
Across,ACROS,,,,,,,
Acting,ACTG,,,,,,,
Action,ACTN,ACTN,,X,,,Action for inventory etc.,
Active,ACTV,ACTV,,X,X,,,
Activate,ACTV,ACTV,,X,X,,,
Activation,ACTV,ACTV,,X,X,,e.g.  Phone Activation Fee,
Activities,ACTV,,,,,,,
Activity,ACTV,ACTV,,X,X,,Derivative of the verb.,
Actor,ACTR,,,,,,,
Actual,ACTL,ACTL,,X,,,,
Actuarial,ACTRL,,,,,,,
Actuary,ACTRY,,,,,,,
Add,ADD,,,,,,,
Add To Cart,A2C,A2C,,X,X,,the action of  adding items to a shopping cart,
Added,ADD,,,,,,,
Addendum,ADNDM,,,,,,,
Addition,ADDTN,,,,,,,
Additional,ADDL,ADDL,,X,X,,"Additional, something in addition to existing.",
Additive,ADDTV,,,,,,,
Address,ADDR,ADDR,,X,X,,Designation of a place where something is located or something is to be delivered.,
Addressable,ADDR,,,,,,,
Adhesive,ADHSV,,,,,,,
Adjust,ADJ,,,,,,,
Adjusted,ADJ,,,,,,,
Adjuster,ADJR,,,,,,,
Adjustment,ADJ,,,X,X,,"Adjustments to a measure.  For example, adjustment to on-hand quantity",
Adjustor,ADJR,,,,,,,
Adjutant,ADJUT,,,,,,,
Administration,ADMIN,ADMIN,,X,X,,,
Administrative,ADMN,,,,,,,
Administrator,ADMR,,,,,,,
Adoption,ADPTN,,,,,,,
Adult,ADLT,ADLT,,X,X,,,
Advalorem,ADVAL,,,,,,,
Advance,ADV,ADV,,X,,,,
Advanced,ADVD,,,,,,,
Advancement,ADVMT,,,,,,,
Advanceshipmentnotice,ASN,ASN,,X,,,,
Advantage,ADVTG,,,,,,,
Adventure,ADVTR,,,,,,,
Advertise,AD,,,,,,,
Advertisement,AD,,,,,,,
Advertising,AD,,,,,,,
Adviser,ADVSR,,,,,,,
Advisory,ADVRY,,,,,,,
Aerospace,ARSPC,,,,,,,
Affair,AFFR,,,,,,,
Affected,AFFEC,,,,,,,
Affidavit,AFFDVT,AFFDVT,,X,X,,A legal document,
Affiliate,AFFLT,,,,,,,
Affiliated,AFFLT,,,,,,,
African,AFRCN,,,,,,,
After,AFT,AFT,,X,X,,After,
After Call Work,ACW,,,X,,,?,
Age,AGE,AGE,,X,X,,The chronological measure of an object's useful existence.,
Aged,AGE,,,,,,,
Agency,AGCY,,,,,,,
Agent,AGNT,,,X,,,,
Aggregate,AGGR,,,,,,,
Aggregated,AGGR,,,,,,,
Aging,AGING,,,,,,,
Agree,AGREE,,,,,,,
Agreement,AGMNT,AGMNT,,X,,,,
Agricultural,AG,,,,,,,
Agriculture,AG,,,,,,,
Aided,AID,,,,,,,
Aircraft,ARCFT,,,,,,,
Airline,ARLN,,,,,,,
Airman,ARMN,,,,,,,
Airport,ARPRT,,,,,,,
Airway,ARWY,,,,,,,
Aisle,AISLE,AISLE,,X,X,,An aisle in a Walmart Store.,
Alabama,AL,,,,,,,
Alarm,ALRM,,,,,,,
Alaska,AK,,,,,,,
Alcoholic,ALCHC,,,,,,,
Alcoholism,ALCHM,,,,,,,
Alderman,ALDM,,,,,,,
Algorithm,ALG,,,,,,,
Alias,ALIAS,,,,,,,
Align,ALGN,,,,,,,
Aligner,ALGNR,,,,,,,
Aligning,ALGNG,,,,,,,
Alignment,ALGN,,,,,,,
Alkaline,ALK,,,,,,,
Allergist,ALRGT,,,,,,,
Allergy,ALRGY,,,,,,,
Alliance,ALNCE,,,,,,,
Allied,ALLD,,,,,,,
Allocate,ALLOC,,,X,,,,
Allocated,ALLOC,,,,,,,
Allocation,ALLOC,,,,,,,
Allow,ALLOW,,,,,,,
Allowable,ALLOW,,,,,,,
Allowance,ALLOW,,,,,,,
Allowances,ALLOW,,,,,,,
Allowed,ALLOW,,,,,,,
Alloy,ALLOY,,,,,,,
Alphabetic,ALPHA,,,,,,,
Alphanumeric,ALPNM,,,,,,,
Alter,ALTR,,,,,,,
Alteration,ALTRN,,,,,,,
Alternate,ALT,ALT,,X,,,,
Alternative,ALTRV,,,,,,,
Alternator,ALTNR,,,,,,,
Alters,ALTRS,,,,,,,
Altitude,ALTTD,,,,,,,
Aluminum,ALUMN,,,,,,,
Amateur,AMTR,,,,,,,
Amazon,AMZN,AMZN,X,X,X,,Stock symbol for Amazon the online commerce firm.,
Amazon Standard Identification Number,ASIN,,,X,X,,,
Ambassador,AMB,,,,,,,
Ambiance,AMBNC,,,,,,,
Ambient,AMBNT,, ,X,X,,,
Ambulance,AMBL,,,,,,,
Amend,AMEND,,,,,,,
Amended,AMEND,,,,,,,
Amendment,AMEND,,,,,,,
America,AMER,,,,,,,
American,AMERN,,,,,,,
Ammonia,AMMN,,,,,,,
Ammunition,AMMO,,,,,,,
Amortization,AMORT,,,,,,,
Amortize,AMORT,,,,,,,
Amount,AMT,AMT,,,,X,Numerical unit representing a sum or total of money.,
Amounts,AMTS,,,,,,,
Amphibious,AMPHB,,,,,,,
Amusement,AMUSE,,,,,,,
Analog,ANLG,,,,,,,
Analysis,ANLYS,,,,,,,
Analyst,ANLYT,,,,,,,
Analytic,ANLYC,,,,,,,
Analytical,ANLYL,,,,,,,
Anchor,ANCHR,,,,,,,
Ancient,ANCNT,,,,,,,
And,AND,,,,,,,
Anesthesia,ANSTH,,,,,,,
Angle,ANGL,,,,,,,
Angler,ANGLR,,,,,,,
Anglican,ANGLN,,,,,,,
Animal,ANML,,,,,,,
Animated,ANMTD,,,,,,,
Annex,ANX,,,,,,,
Anniversary,ANVRY,,,,,,,
Annual,ANL,,,,,,,
Annually,ANLY,,,,,,,
Annuity,ANUIT,,,,,,,
Anodizing,ANDZG,,,,,,,
Anonymous,ANON,,,,,,,
Answer,ANS,ANS,,X,X,,The response to a question or query,
Answering,ANSWR,,,,,,,
Anticipation,ANTIC,,,,,,,
Antifreeze,ANTFZ,,,,,,,
Antique,ANTQ,,,,,,,
Apartment,APT,,,,,,,
Apparel,APPRL,,,,,,,
Apple,APPLE,,,,,,,
Appliance,APLNC,,,,,,,
Applicable,APPL,,,,,,,
Application,APPLN,APPLN,,X,X,,An application as in software or as part of a process.,
Applicator,APPLR,,,,,,,
Applied,APPLD,,,,,,,
Applique,APPLQ,,,,,,,
Apply,APPLY,,,,,,,
Appointed,APPTD,,,,,,,
Appointment,APPT,,,X,,,,
Appraisal,APRSL,,,,,,,
Appraiser,APRSR,,,,,,,
Appraisor,APRSR,,,,,,,
Approacher,APRCH,,,,,,,
Appropriate,APPRO,,,,,,,
Approval,APPV,,,,,,,
Approved,APPV,,,,,,,
Approver,APPVR,,,,,,,
April,APR,,,,,,,
Arabian,ARBN,,,,,,,
Arcade,ARC,,,,,,,
Archbishop,ABP,,,,,,,
Archery,ARHRY,,,,,,,
Architect,ARCHT,,,,,,,
Architectural,ARCHL,,,,,,,
Architecture,ARCH,,,,,,,
Archive,ARCHV,,,,,,,
Area,AREA,,,,,,,
Arena,ARN,,,,,,,
Argument,ARGU,,,,,,,
Aristocrat,ARSTO,,,,,,,
Arizona,AZ,,,,,,,
Arkansas,AR,,,,,,,
