bucketNameType,databaseName,tableName,opCmpnyCd,refreshMode,wmt.storage_uploader,wmt.storage_viewer,isDevBigLake,updateSoftDelete,resourceBucketType,bucket_name,bucket_given_name,olm_policy_applied,autoclass_enabled,labels,location,env,zone,soft_delete_period,bucket_created,error
hash,sa_supply_chain_dl_secure,bp_data,sa-mm,incremental load,svc-dl-sa-afaas-hs@wmt-intl-dl-sa-hs-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-hs@wmt-intl-dl-sa-hs-prod.iam.gserviceaccount.com,false,dca logic,,c4efafb620253e78ccdf14b7d3f4067df049d4e16c52423967d87f812ca1fc,prod--sa_supply_chain_dl_secure--bp_data--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'bp_data', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': 'c4efafb620253e78ccdf14b7d3f4067df049d4e16c52423967d87f812ca1fc', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,dt_scdl_db,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,325f2d33d27159319c9f7bb484540e7381e4f313ca5d550e7613b75c496ba5,prod--sa_supply_chain_dl_secure--dt_scdl_db--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'dt_scdl_db', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': '325f2d33d27159319c9f7bb484540e7381e4f313ca5d550e7613b75c496ba5', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,dlvr_hdr,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,d5b0e0f086b27fa71182a7c89debd03fbce6966eaa748fe6e75b3e3f09aab5,prod--sa_supply_chain_dl_secure--dlvr_hdr--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'dlvr_hdr', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': 'd5b0e0f086b27fa71182a7c89debd03fbce6966eaa748fe6e75b3e3f09aab5', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,dlvr_order_hdr,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,fbe5ce334b283c6a14ec13a7e9e5165dbe8bce82affd07b654da1f88612149,prod--sa_supply_chain_dl_secure--dlvr_order_hdr--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'dlvr_order_hdr', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': 'fbe5ce334b283c6a14ec13a7e9e5165dbe8bce82affd07b654da1f88612149', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,inbound_dlvr_item,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,ac410d88a43cdacdbe66773967f6a0b65debc5870add89c53b46056ee3df4b,prod--sa_supply_chain_dl_secure--inbound_dlvr_item--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'inbound_dlvr_item', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': 'ac410d88a43cdacdbe66773967f6a0b65debc5870add89c53b46056ee3df4b', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,dlvr_order_item,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,8b65b6a7dcb9aadde3908b7cc5159e10bee5e77c554582655ef599e4cb83e0,prod--sa_supply_chain_dl_secure--dlvr_order_item--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'dlvr_order_item', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': '8b65b6a7dcb9aadde3908b7cc5159e10bee5e77c554582655ef599e4cb83e0', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,ref_scdl_db,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,89f6b8e1df674b4a10d97b8e800156d9f79aa94d8c7b5e01c24c906dee959e,prod--sa_supply_chain_dl_secure--ref_scdl_db--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'ref_scdl_db', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': '89f6b8e1df674b4a10d97b8e800156d9f79aa94d8c7b5e01c24c906dee959e', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,item_notif_rq,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,3983f199dcdeeb2961485d344cf881f59fc41efbe0e016f8128c27ecf08c16,prod--sa_supply_chain_dl_secure--item_notif_rq--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'item_notif_rq', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': '3983f199dcdeeb2961485d344cf881f59fc41efbe0e016f8128c27ecf08c16', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,status_scdl_db,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,4cb116244d7afb73ef91c92a35177137578e496414053486c7fe0b6b328bae,prod--sa_supply_chain_dl_secure--status_scdl_db--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'status_scdl_db', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': '4cb116244d7afb73ef91c92a35177137578e496414053486c7fe0b6b328bae', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
hash,sa_supply_chain_dl_secure,avlbl_qty,sa-mm,incremental load,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-ns@wmt-intl-dl-sa-ns-prod.iam.gserviceaccount.com,false,dca logic,,33709e459c967c07980b8c9326ced9e4888f23a5eaeee2efb2812d2de34ec6,prod--sa_supply_chain_dl_secure--avlbl_qty--sa-mm,,True,"{'environment': 'prod', 'op_cmpny_cd': 'sa-mm', 'databasename': 'sa_supply_chain_dl_secure', 'tablename': 'avlbl_qty', 'data-classification': 'non-sensitive', 'zone': 'catalog', 'applicationname': '33709e459c967c07980b8c9326ced9e4888f23a5eaeee2efb2812d2de34ec6', 'gbm_user': 'test_user'}",US,prod,catalog,7 days,yes,
