bucketNameType,databaseName,tableName,opCmpnyCd,refreshMode,wmt.storage_uploader,wmt.storage_viewer,isDevBigLake,updateSoftDelete,resourceBucketType
hash,sa_supply_chain_dl_secure,mm_bp_data,SA-MM,incremental load,svc-dl-sa-afaas-hs@wmt-intl-dl-sa-hs-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-hs@wmt-intl-dl-sa-hs-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_dt_scdl_db,SA-MM,incremental load,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_dlvr_hdr,SA-MM,incremental load,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_dlvr_order_hdr,SA-MM,incremental load,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_inbound_dlvr_item,SA-MM,incremental load,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_dlvr_order_item,SA-MM,incremental load,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_ref_scdl_db,SA-MM,incremental load,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_item_notif_rq,SA-MM,incremental load,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_status_scdl_db,SA-MM,incremental load,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
hash,sa_supply_chain_dl_secure,mm_avlbl_qty,SA-MM,incremental load,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,svc-dl-sa-afaas-se@wmt-intl-dl-sa-se-prod.iam.gserviceaccount.com,FALSE,DCA Logic,
