icdsTableName,BANNER_NAME,OP-Company code,dlSchemaName,tableLoadType
SCWM_TU_STATUS,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_TU_DLV,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCDL_DB_PROCH_I,MM,SA-MM,sa_supply_chain_dl_secure,INC
BUT000,MM,SA-MM,sa_supply_chain_dl_secure,INC
TU_DLC,MM,SA-MM,sa_supply_chain_dl_secure,INC
ORDIM_C,MM,SA-MM,sa_supply_chain_dl_secure,INC
BD_STATUS,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_TU_DOOR,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_AQUA,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_QUAN,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_TDOOR,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCDL_DB_PROCI_I,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCDL_DB_REQI,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCDL_DB_REFDOC,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_ORDIM_C,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_ORDIM_O,MM,SA-MM,sa_supply_chain_dl_secure,INC
ZMWM_HISTRY_DATA,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCDL_DB_PROCH_O,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCDL_DB_PROCI_O,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_WAVEITM,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCDL_DB_STATUS,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_WAVEHDR,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCDL_DB_DATE,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_QUAN:,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_STOCK,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_INVBASDOC,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_MONITOR_S,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_MATKEY,MM,SA-MM,sa_supply_chain_dl_secure,INC
SAPAPO_ATPLOG,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_QUANT,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_BINMAT,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_BINMAP,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_DLV_OUT,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_VALUATION,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_ORDIM_H,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_INVPHYSBIN,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_PRDO,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_DELIV,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_TO_CONF,MM,SA-MM,sa_supply_chain_dl_secure,INC
SAPAPO_MATLOC,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_THRESHOLD,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_QUEUE,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_EWRKL,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCDL_DB_BPLOC,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCWM_LOC_IW01,MM,SA-MM,sa_supply_chain_dl_secure,INC
LIME_NTREE,MM,SA-MM,sa_supply_chain_dl_secure,INC
SCDL_DB_ADDMEAS,MM,SA-MM,sa_supply_chain_dl_secure,INC
